No.,Party Code,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 655,QS035,KHANDELWAL RASSI BHANDAR,SPM,9691,04/04/2026,1,50,Rolls,ALTO,Spike,P.Green,2ft,12m,45,₹25.00,₹14.50,₹0,₹0,"₹32,625","₹38,498",YES,05/04/2026,,93,10 Apr 26,,Dispatched,4,,,
656,QS035,KHANDELWAL RASSI BHANDAR,SPM,9691,04/04/2026,2,10,Rolls,ALTO,Spike,Blue,2ft,12m,45,₹25.00,₹14.50,₹0,₹0,"₹6,525","₹7,700",YES,05/04/2026,,93,10 Apr 26,,Dispatched,4,,,
657,QS035,KHANDELWAL RASSI BHANDAR,SPM,9691,04/04/2026,3,20,Rolls,ALTO,Spike,Red,2ft,12m,45,₹25.00,₹14.50,₹0,₹0,"₹13,050","₹15,399",YES,05/04/2026,,93,10 Apr 26,,Dispatched,4,,,
658,QS035,KHANDELWAL RASSI BHANDAR,SPM,9691,04/04/2026,4,20,Rolls,ALTO,Spike,Black,2ft,12m,45,₹25.00,₹14.50,₹0,₹0,"₹13,050","₹15,399",YES,05/04/2026,,93,10 Apr 26,,Dispatched,4,,,
659,QS035,KHANDELWAL RASSI BHANDAR,SPM,9691,04/04/2026,5,5,Rolls,ALTO,Spike,Red-Black,2ft,12m,45,₹25.00,₹14.50,₹0,₹0,"₹3,263","₹3,850",YES,05/04/2026,,93,10 Apr 26,,Dispatched,4,,,
660,QS035,KHANDELWAL RASSI BHANDAR,SPM,9691,04/04/2026,6,5,Rolls,ALTO,Spike,Light Grey-Black,2ft,12m,45,₹25.00,₹14.50,₹0,₹0,"₹3,263","₹3,850",YES,05/04/2026,,93,10 Apr 26,,Dispatched,4,,,
661,QS035,KHANDELWAL RASSI BHANDAR,SPM,9691,04/04/2026,7,5,Rolls,ALTO,Spike,Green-Black,2ft,12m,45,₹25.00,₹14.50,₹0,₹0,"₹3,263","₹3,850",YES,05/04/2026,,93,10 Apr 26,,Dispatched,4,,,
662,QS035,KHANDELWAL RASSI BHANDAR,SPM,9691,04/04/2026,8,5,Rolls,ALTO,Spike,Red-Blue,2ft,12m,45,₹25.00,₹14.50,₹0,₹0,"₹3,263","₹3,850",YES,05/04/2026,,93,10 Apr 26,,Dispatched,4,,,
663,QS035,KHANDELWAL RASSI BHANDAR,SPM,9691,04/04/2026,9,20,Rolls,ALTO,Spike,Grey,2ft,12m,45,₹25.00,₹14.50,₹0,₹0,"₹13,050","₹15,399",YES,05/04/2026,,93,10 Apr 26,,Dispatched,4,,,
664,QS035,KHANDELWAL RASSI BHANDAR,SPM,9691,04/04/2026,10,10,Turf,Kappa Turf,Turf,P.Green,2ft,15m,46.4,₹21.00,₹15.00,₹0,₹0,"₹6,960","₹8,213",YES,05/04/2026,,93,10 Apr 26,,Dispatched,4,,,
665,QS035,KHANDELWAL RASSI BHANDAR,SPM,9691,04/04/2026,11,5,Turf,Kappa Turf,Turf,Blue,2ft,15m,46.4,₹21.00,₹15.00,₹0,₹0,"₹3,480","₹4,106",YES,05/04/2026,,93,10 Apr 26,,Dispatched,4,,,
666,QS035,KHANDELWAL RASSI BHANDAR,SPM,9691,04/04/2026,12,10,Turf,Kappa Turf,Turf,Red,2ft,15m,46.4,₹21.00,₹15.00,₹0,₹0,"₹6,960","₹8,213",YES,05/04/2026,,93,10 Apr 26,,Dispatched,4,,,
667,QS035,KHANDELWAL RASSI BHANDAR,SPM,9691,04/04/2026,13,10,S-Mat,TEFNO - 400,S-Mat,P.Green,2ft,15m,52.5,₹25.00,₹15.00,₹0,₹0,"₹7,875","₹9,293",YES,05/04/2026,,93,10 Apr 26,,Dispatched,4,,,
668,QS035,KHANDELWAL RASSI BHANDAR,SPM,9691,04/04/2026,14,5,S-Mat,TEFNO - 400,S-Mat,Blue,2ft,15m,52.5,₹25.00,₹15.00,₹0,₹0,"₹3,938","₹4,646",YES,05/04/2026,,93,10 Apr 26,,Dispatched,4,,,
669,QS035,KHANDELWAL RASSI BHANDAR,SPM,9691,04/04/2026,15,10,S-Mat,TEFNO - 400,S-Mat,Red,2ft,15m,52.5,₹25.00,₹15.00,₹0,₹0,"₹7,875","₹9,293",YES,05/04/2026,,93,10 Apr 26,,Dispatched,4,,,
670,QS035,KHANDELWAL RASSI BHANDAR,SPM,9691,04/04/2026,16,5,S-Mat,TEFNO - 400,S-Mat,Green-Black,2ft,15m,52.5,₹25.00,₹15.00,₹0,₹0,"₹3,938","₹4,646",YES,05/04/2026,,93,10 Apr 26,,Dispatched,4,,,
671,IG0939,JM JAIN LLP,VS,4918,04/04/2026,1,1,S-Mat,TEFNO - 400,S-Mat,Light Grey-Black,4ft,15m,196.9,₹25.90,₹25.90,₹0,₹0,"₹5,100","₹6,018",yes,04/04/2026,,45,5 Apr 26,,Dispatched,4,,,
672,IG0939,JM JAIN LLP,VS,4918,04/04/2026,2,1,S-Mat,TEFNO - 400,S-Mat,Red-Black,4ft,15m,196.9,₹25.90,₹25.90,₹0,₹0,"₹5,100","₹6,018",yes,04/04/2026,,45,5 Apr 26,,Dispatched,4,,,
673,IG0939,JM JAIN LLP,VS,4918,04/04/2026,3,1,S-Mat,TEFNO - 400,S-Mat,Blue-Black,4ft,15m,196.9,₹25.90,₹25.90,₹0,₹0,"₹5,100","₹6,018",yes,04/04/2026,,45,5 Apr 26,,Dispatched,4,,,
674,IG0939,JM JAIN LLP,VS,4918,04/04/2026,4,1,S-Mat,TEFNO - 400,S-Mat,P.Green,4ft,15m,196.9,₹25.90,₹25.90,₹0,₹0,"₹5,100","₹6,018",yes,04/04/2026,,45,5 Apr 26,,Dispatched,4,,,
675,IG0939,JM JAIN LLP,VS,4918,04/04/2026,5,1,S-Mat,TEFNO - 400,S-Mat,Red,4ft,15m,196.9,₹25.90,₹25.90,₹0,₹0,"₹5,100","₹6,018",yes,04/04/2026,,45,5 Apr 26,,Dispatched,4,,,
676,IG0939,JM JAIN LLP,VS,4918,04/04/2026,6,1,S-Mat,TEFNO - 400,S-Mat,Blue,4ft,15m,196.9,₹25.90,₹25.90,₹0,₹0,"₹5,100","₹6,018",yes,04/04/2026,,45,5 Apr 26,,Dispatched,4,,,
677,IG0939,JM JAIN LLP,VS,4918,04/04/2026,7,1,S-Mat,TEFNO - 400,S-Mat,L.Grey,4ft,15m,196.9,₹25.90,₹25.90,₹0,₹0,"₹5,100","₹6,018",yes,04/04/2026,,45,5 Apr 26,,Dispatched,4,,,
678,IG0939,JM JAIN LLP,VS,4918,04/04/2026,8,1,Rolls,ALTO,Spike,Light Grey-Black,2ft,12m,78.76,₹24.00,₹24.00,₹0,₹0,"₹1,890","₹2,230",yes,04/04/2026,,45,5 Apr 26,,Dispatched,4,,,
679,IG0939,JM JAIN LLP,VS,4918,04/04/2026,9,1,Rolls,ALTO,Spike,Red-Black,2ft,12m,78.76,₹24.00,₹24.00,₹0,₹0,"₹1,890","₹2,230",yes,04/04/2026,,45,5 Apr 26,,Dispatched,4,,,
680,IG0939,JM JAIN LLP,VS,4918,04/04/2026,10,1,Rolls,ALTO,Spike,Blue-Black,2ft,12m,78.76,₹24.00,₹24.00,₹0,₹0,"₹1,890","₹2,230",yes,04/04/2026,,45,5 Apr 26,,Dispatched,4,,,
681,IG0939,JM JAIN LLP,VS,4918,04/04/2026,11,1,Rolls,ALTO,Spike,P.Green,2ft,12m,78.76,₹24.00,₹24.00,₹0,₹0,"₹1,890","₹2,230",yes,04/04/2026,,45,5 Apr 26,,Dispatched,4,,,
682,IG0939,JM JAIN LLP,VS,4918,04/04/2026,12,1,Rolls,ALTO,Spike,Red,2ft,12m,78.76,₹24.00,₹24.00,₹0,₹0,"₹1,890","₹2,230",yes,04/04/2026,,45,5 Apr 26,,Dispatched,4,,,
683,IG0939,JM JAIN LLP,VS,4918,04/04/2026,13,1,Rolls,ALTO,Spike,Blue,2ft,12m,78.76,₹24.00,₹24.00,₹0,₹0,"₹1,890","₹2,230",yes,04/04/2026,,45,5 Apr 26,,Dispatched,4,,,
684,IG0939,JM JAIN LLP,VS,4918,04/04/2026,14,1,Rolls,ALTO,Spike,Grey,2ft,12m,78.76,₹24.00,₹24.00,₹0,₹0,"₹1,890","₹2,230",yes,04/04/2026,,45,5 Apr 26,,Dispatched,4,,,
685,IG0939,JM JAIN LLP,VS,4918,04/04/2026,15,1,S-Mat,TEFNO - 600,S-Mat,Red,2ft,15m,98.45,₹28.00,₹28.00,₹0,₹0,"₹2,757","₹3,253",yes,04/04/2026,,45,5 Apr 26,,Dispatched,4,,,
686,IG0939,JM JAIN LLP,VS,4918,04/04/2026,16,1,S-Mat,TEFNO - 600,S-Mat,Blue,2ft,15m,98.45,₹28.00,₹28.00,₹0,₹0,"₹2,757","₹3,253",yes,04/04/2026,,45,5 Apr 26,,Dispatched,4,,,
687,IG0939,JM JAIN LLP,VS,4918,04/04/2026,17,1,S-Mat,TEFNO - 600,S-Mat,L.Grey,2ft,15m,98.45,₹28.00,₹28.00,₹0,₹0,"₹2,757","₹3,253",yes,04/04/2026,,45,5 Apr 26,,Dispatched,4,,,
688,IG0939,JM JAIN LLP,VS,4918,04/04/2026,18,1,S-Mat,TEFNO - 600,S-Mat,P.Green,2ft,15m,98.45,₹28.00,₹28.00,₹0,₹0,"₹2,757","₹3,253",yes,04/04/2026,,45,5 Apr 26,,Dispatched,4,,,
689,IG0939,JM JAIN LLP,VS,4918,04/04/2026,19,2,Grass,35mm,Grass,Grass,4ft,25m,322.92,₹17.00,₹17.00,₹0,₹0,"₹10,979","₹11,528",yes,04/04/2026,,45,5 Apr 26,,Dispatched,4,,,
690,IG0939,JM JAIN LLP,VS,4918,04/04/2026,20,2,Grass,35mm,Grass,Grass,2ft,25m,161.46,₹17.00,₹17.00,₹0,₹0,"₹5,490","₹5,764",yes,04/04/2026,,45,5 Apr 26,,Dispatched,4,,,
691,TI01487,RAMA AGENCIES (Ent),VS,4919,04/04/2026,1,4,S-Mat,TEFNO - 600,S-Mat,Brown,4ft,15m,196.9,₹32.00,₹32.00,₹0,₹0,"₹25,203","₹29,740",yes,07/04/2026,,65,7 Apr 26,Pi Rama Ent,Dispatched,4,,,
692,TI01487,RAMA AGENCIES (Ent),VS,4919,04/04/2026,2,1,Rolls,CIRRO,Spike,Brown,4ft,12m,157.52,₹33.00,₹33.00,₹0,₹0,"₹5,198","₹6,134",yes,07/04/2026,,65,7 Apr 26,,Dispatched,4,,,
693,UH01331,AABHAV ,VS,4922,04/04/2026,1,10,Car Set,STRATO,Spike,Dark Grey-Black,3pc,3pc,1,₹710.00,₹710.00,₹0,₹0,"₹7,100","₹8,378",yes,06/04/2026,,104,11 Apr 26,,Dispatched,4,,,
694,UH01331,AABHAV ,VS,4922,04/04/2026,2,3,Car Set,STRATO,Spike,Light Grey-Black,3pc,3pc,1,₹710.00,₹710.00,₹0,₹0,"₹2,130","₹2,513",yes,06/04/2026,,104,11 Apr 26,,Dispatched,4,,,
695,UH01331,AABHAV ,VS,4922,04/04/2026,3,5,Car Set,STRATO,Spike,Beige-Brown,3pc,3pc,1,₹710.00,₹710.00,₹0,₹0,"₹3,550","₹4,189",yes,06/04/2026,,104,11 Apr 26,,Dispatched,4,,,
696,UH01331,AABHAV ,VS,4922,04/04/2026,4,10,Car Set,STRATO,Spike,Black,3pc,3pc,1,₹710.00,₹710.00,₹0,₹0,"₹7,100","₹8,378",yes,06/04/2026,,104,11 Apr 26,,Dispatched,4,,,
697,QF0897,LEXICON TRADING,AA,4923,04/04/2026,1,10,Grass,25mm,Single Backing,Grass,4ft,25m,322.92,₹14.50,₹14.50,₹0,₹0,"₹46,823","₹49,165",YES,06/04/2026,,59,6 Apr 26,,Dispatched,4,,,
698,JP0910,AJAY COLLECTION,VS,4924,04/04/2026,1,1,Grass,35mm,Grass,Grass,4ft,25m,322.92,₹21.00,₹21.00,₹0,₹0,"₹6,781","₹7,120",yes,04/04/2026,,44,5 Apr 26,,Dispatched,4,,,
699,JP0910,AJAY COLLECTION,VS,4924,04/04/2026,2,1,Grass,35mm,Grass,Grass,2ft,25m,161.46,₹21.00,₹21.00,₹0,₹0,"₹3,391","₹3,560",yes,04/04/2026,,44,5 Apr 26,,Dispatched,4,,,
700,GH0627,PAL GENERAL STORE,AA,4926,04/04/2026,1,600,Foot Mat,WELCOME,Welcome,Mixed,38cm,58cm,1,₹82.00,₹82.00,₹0,₹0,"₹49,200","₹58,056",yes,04/04/2026,,76,8 Apr 26,,Dispatched,4,,,
701,GH0627,PAL GENERAL STORE,AA,4926,04/04/2026,2,100,Foot Mat,NIMBO,Spike,Mixed,16in,24in,1,₹80.00,₹80.00,₹0,₹0,"₹8,000","₹9,440",yes,04/04/2026,,76,8 Apr 26,,Dispatched,4,,,
702,GH0627,PAL GENERAL STORE,AA,4926,04/04/2026,3,100,Foot Mat,NIMBO,Spike,Mixed,45cm,75cm,1,₹112.00,₹112.00,₹0,₹0,"₹11,200","₹13,216",yes,04/04/2026,,76,8 Apr 26,,Dispatched,4,,,
703,GH0627,PAL GENERAL STORE,AA,4926,04/04/2026,4,60,Foot Mat,STRATO,Spike,Mixed,16in,24in,1,₹106.40,₹106.40,₹0,₹0,"₹6,384","₹7,533",yes,04/04/2026,,76,8 Apr 26,,Dispatched,4,,,
704,GH0627,PAL GENERAL STORE,AA,4926,04/04/2026,5,60,Foot Mat,STRATO,Spike,Mixed,45cm,75cm,1,₹150.00,₹150.00,₹0,₹0,"₹9,000","₹10,620",yes,04/04/2026,,76,8 Apr 26,,Dispatched,4,,,
705,GH0627,PAL GENERAL STORE,AA,4926,04/04/2026,6,100,Foot Mat,Kappa Turf,Turf,Mixed,14in,24in,1,₹60.00,₹60.00,₹0,₹0,"₹6,000","₹7,080",yes,04/04/2026,,76,8 Apr 26,,Dispatched,4,,,
706,GH0627,PAL GENERAL STORE,AA,4926,04/04/2026,7,100,Foot Mat,25mm,Grass,Mixed,37cm,58cm,1,₹60.00,₹60.00,₹0,₹0,"₹6,000","₹6,300",yes,04/04/2026,,76,8 Apr 26,,Dispatched,4,,,
707,GH0627,PAL GENERAL STORE,AA,4926,04/04/2026,8,100,Foot Mat,25mm,Grass,Mixed,45cm,75cm,1,₹90.00,₹90.00,₹0,₹0,"₹9,000","₹9,450",yes,04/04/2026,,76,8 Apr 26,,Dispatched,4,,,
708,GH0627,PAL GENERAL STORE,AA,4926,04/04/2026,9,50,Foot Mat,Kappa Turf,Turf,Mixed,45cm,75cm,1,₹96.50,₹96.50,₹0,₹0,"₹4,825","₹5,694",yes,04/04/2026,,76,8 Apr 26,,Dispatched,4,,,
709,SS0780,KALRA HOME FURNISHING,AA,4927,04/04/2026,1,2,S-Mat,TEFNO - 600,S-Mat,Red,4ft,15m,196.9,₹30.00,₹30.00,₹0,₹0,"₹11,814","₹13,941",yes,04/04/2026,,38,4 Apr 26,,Dispatched,4,,,
710,XS0839,FOREST HILL RESORT PRIVATE LIMTED,AR,4928,04/04/2026,1,7,Grass,35mm,Grass,Grass,2mtr,25m,538.2,₹25.00,₹24.90,₹0,₹0,"₹93,808","₹98,499",yes,04/04/2026,,39,4 Apr 26,Discount on Sale (-394),Dispatched,4,,,
711,BH01618,SRI RAM FURNISHING,AR,9681,05/04/2026,1,1,Grass,35mm,Double Backing,Grass,4ft,25m,180,₹19.00,₹19.00,₹200,₹0,"₹3,620","₹3,801",yes,05/04/2026,,57,6 Apr 26,,Dispatched,4,,,
712,BH01618,SRI RAM FURNISHING,AR,9681,05/04/2026,2,2,Grass,35mm,Double Backing,Grass,2ft,25m,80.73,₹19.00,₹19.00,₹0,₹0,"₹3,068","₹3,221",yes,05/04/2026,,57,6 Apr 26,,Dispatched,4,,,
713,BH01618,SRI RAM FURNISHING,AR,9681,05/04/2026,3,1,Grass,40mm,Double Backing,Grass,4ft,25m,190,₹24.00,₹24.00,₹0,"₹8,211","₹4,560","₹4,788",yes,05/04/2026,,57,6 Apr 26,,Dispatched,4,,,
714,FU01,SUNNY SYNTHETIC,YA,4930,05/04/2026,1,20,S-Mat,TEFNO - 400,S-Mat,Red-Black,2ft,15m,98.45,₹25.50,₹25.50,₹0,₹0,"₹50,210","₹59,247",yes,05/04/2026,,50,5 Apr 26,,Dispatched,4,,,
715,FU01,SUNNY SYNTHETIC,YA,4930,05/04/2026,2,10,S-Mat,TEFNO - 400,S-Mat,Blue-Black,2ft,15m,98.45,₹25.50,₹25.50,₹0,₹0,"₹25,105","₹29,624",yes,05/04/2026,,50,5 Apr 26,,Dispatched,4,,,
716,FU01,SUNNY SYNTHETIC,YA,4930,05/04/2026,3,10,S-Mat,TEFNO - 400,S-Mat,Green-Black,2ft,15m,98.45,₹25.50,₹25.50,₹0,₹0,"₹25,105","₹29,624",yes,05/04/2026,,51,5 Apr 26,,Dispatched,4,,,
717,FU01,SUNNY SYNTHETIC,YA,4930,05/04/2026,4,20,S-Mat,TEFNO - 400,S-Mat,Grey-Black,2ft,15m,98.45,₹25.50,₹25.50,₹0,₹0,"₹50,210","₹59,247",yes,05/04/2026,,51,5 Apr 26,,Dispatched,4,,,
718,FU01,SUNNY SYNTHETIC,YA,4930,05/04/2026,5,10,S-Mat,TEFNO - 400,S-Mat,Beige-Brown,2ft,15m,98.45,₹25.50,₹25.50,₹0,₹0,"₹25,105","₹29,624",yes,05/04/2026,,63,7 Apr 26,,Dispatched,4,,,
719,FU01,SUNNY SYNTHETIC,YA,4930,05/04/2026,6,7,S-Mat,TEFNO - 400,S-Mat,Red-Black,4ft,15m,196.9,₹25.50,₹25.50,₹0,₹0,"₹35,147","₹41,473",yes,05/04/2026,,50,5 Apr 26,,Dispatched,4,,,
720,FU01,SUNNY SYNTHETIC,YA,4930,05/04/2026,7,7,S-Mat,TEFNO - 400,S-Mat,Green-Black,4ft,15m,196.9,₹25.50,₹25.50,₹0,₹0,"₹35,147","₹41,473",yes,05/04/2026,,51,5 Apr 26,,Dispatched,4,,,
721,FU01,SUNNY SYNTHETIC,YA,4930,05/04/2026,8,3,S-Mat,TEFNO - 400,S-Mat,Blue-Black,4ft,15m,196.9,₹25.50,₹25.50,₹0,₹0,"₹15,063","₹17,774",yes,05/04/2026,,51,5 Apr 26,,Dispatched,4,,,
722,ZM01266,AARAMDEHI,AR,4931,05/04/2026,1,1,Grass,25mm,Single Backing,Grass,4ft,25m,322.92,₹13.50,₹13.50,₹0,₹0,"₹4,359","₹4,577",yes,05/04/2026,,56,6 Apr 26,,Dispatched,4,,,
723,BR01701,V MART RETAIL,AR,4933,03/04/2026,1,3,Heavy,Duty,Diamond,Grey,4ft,9m,118.13,₹115.00,₹115.00,₹0,₹0,"₹40,755","₹48,091",,03/04/2026,,cancle,cancle,,Cancel,#VALUE!,,,
724,FU01,SUNNY SYNTHETIC,YA,4930,05/04/2026,9,10,S-Mat,TEFNO - 400,S-Mat,Green-Black,2ft,15m,98.45,₹25.50,₹25.50,₹0,₹0,"₹25,105","₹29,624",yes,05/04/2026,,50,5 Apr 26,,Dispatched,4,,,
725,FU01,SUNNY SYNTHETIC,YA,4930,05/04/2026,10,3,S-Mat,TEFNO - 400,S-Mat,Blue-Black,4ft,15m,196.9,₹25.50,₹25.50,₹0,₹0,"₹15,063","₹17,774",yes,05/04/2026,,50,5 Apr 26,,Dispatched,4,,,
726,FU01,SUNNY SYNTHETIC,YA,9682,05/04/2026,1,2500,Foot Mat,Mann,Diamond,Mixed,40cm,60cm,1,₹57.50,₹0.00,₹0,"₹143,750",₹0,₹0,yes,06/04/2026,,Net,7 Apr 26,,Dispatched,4,,,
727,ZD01367,SANJAY ENTERPRISES ( BIHAR ),SPM,4931,06/04/2026,1,15,Rolls,NIMBO,Spike,Red-Black,4ft,12m,157.52,₹30.00,₹30.00,₹0,₹0,"₹70,884","₹83,643",yes,06/04/2026,,53,6 Apr 26,,Dispatched,4,,,
728,ZD01367,SANJAY ENTERPRISES ( BIHAR ),SPM,4931,06/04/2026,2,15,Rolls,NIMBO,Spike,Green-Yellow,4ft,12m,157.52,₹30.00,₹30.00,₹0,₹0,"₹70,884","₹83,643",yes,06/04/2026,,53,6 Apr 26,,Dispatched,4,,,
729,ZD01367,SANJAY ENTERPRISES ( BIHAR ),SPM,4931,06/04/2026,3,15,Rolls,NIMBO,Spike,Light Grey-Black,4ft,12m,157.52,₹30.00,₹30.00,₹0,₹0,"₹70,884","₹83,643",yes,06/04/2026,,53,6 Apr 26,,Dispatched,4,,,
730,ZD01367,SANJAY ENTERPRISES ( BIHAR ),SPM,4931,06/04/2026,4,10,Rolls,NIMBO,Spike,P.Green,4ft,12m,157.52,₹30.00,₹30.00,₹0,₹0,"₹47,256","₹55,762",yes,06/04/2026,,53,6 Apr 26,,Dispatched,4,,,
731,ZD01367,SANJAY ENTERPRISES ( BIHAR ),SPM,4931,06/04/2026,5,12,Turf,Kappa Turf,Turf,P.Green,4ft,15m,193.68,₹24.00,₹24.00,₹0,₹0,"₹55,780","₹65,820",yes,06/04/2026,,53,6 Apr 26,,Dispatched,4,,,
732,ZD01367,SANJAY ENTERPRISES ( BIHAR ),SPM,4931,06/04/2026,6,10,Turf,Kappa Turf,Turf,P.Green,2ft,15m,96.84,₹24.00,₹24.00,₹0,₹0,"₹23,242","₹27,425",yes,06/04/2026,,53,6 Apr 26,,Dispatched,4,,,
733,ZD01367,SANJAY ENTERPRISES ( BIHAR ),SPM,4931,06/04/2026,7,5,Turf,Kappa Turf,Turf,Red,2ft,15m,96.84,₹24.00,₹24.00,₹0,₹0,"₹11,621","₹13,713",yes,06/04/2026,,53,6 Apr 26,,Dispatched,4,,,
734,ZD01367,SANJAY ENTERPRISES ( BIHAR ),SPM,4931,06/04/2026,8,15,Rolls,NIMBO,Spike,Green-Blue,4ft,12m,157.52,₹30.00,₹30.00,₹0,₹0,"₹70,884","₹83,643",yes,06/04/2026,,53,6 Apr 26,,Dispatched,4,,,
735,QF0897,LEXICON TRADING,AA,4932,04/04/2026,2,10,Grass,35mm,Single Backing,Grass,2ft,25m,161.46,₹17.50,₹17.50,₹0,₹0,"₹28,256","₹29,668",YES,06/04/2026,,59,6 Apr 26,,Dispatched,4,,,
736,RJ039,VERSATILE AUTO COMPONENTS PVT LTD,AR,4933,06/04/2026,1,50,Rolls,ALTO,Spike,Black,4ft,12m,157.52,₹27.81,₹27.81,₹0,₹0,"₹219,000","₹258,420",yes,,,62,7 Apr 26,,Dispatched,4,,,
737,RV01800,MODERN DECOART,SK,4934,06/04/2026,1,1,Rolls,ALTO,Spike,Red,2ft,12m,78.76,₹29.00,₹29.00,₹0,₹0,"₹2,284","₹2,695",YES,06/04/2026,,60,6 Apr 26,,Dispatched,4,,,
738,RV01800,MODERN DECOART,SK,4934,06/04/2026,2,1,Rolls,ALTO,Spike,P.Green,2ft,12m,78.76,₹29.00,₹29.00,₹0,₹0,"₹2,284","₹2,695",YES,06/04/2026,,60,6 Apr 26,,Dispatched,4,,,
739,RV01800,MODERN DECOART,SK,4934,06/04/2026,3,1,Turf,Kappa Turf,Turf,Brown,2ft,15m,96.84,₹30.00,₹30.00,₹0,₹0,"₹2,905","₹3,428",YES,06/04/2026,,60,6 Apr 26,,Dispatched,4,,,
740,AZ01094,UNIQUE ENTERPRISES ( Delhi ) Shantinath,SPM,9679,01/04/2026,3,20,Rolls,STRATO,Spike,Light Grey-Black,4ft,10m,131.26,₹40.50,₹17.16,₹0,"₹114,301","₹45,048","₹53,157",yes,01/04/2026,,52,6 Apr 26,,Dispatched,4,,,
741,LV01162,BOMBAY MAT & CHEMICALS,AR,4936,06/04/2026,1,10,Grass,35mm,Double Backing,Grass,2ft,25m,161.46,₹20.00,₹20.00,₹0,₹0,"₹32,292","₹33,907",yes,06/04/2026,,54,6 Apr 26,,Dispatched,4,,,
742,LV01162,BOMBAY MAT & CHEMICALS,AR,4936,06/04/2026,2,1,Rolls,STRATO,Spike,Green-Black,2ft,10m,65.63,₹41.00,₹41.00,₹0,₹0,"₹2,691","₹3,175",yes,06/04/2026,,54,6 Apr 26,,Dispatched,4,,,
743,LV01162,BOMBAY MAT & CHEMICALS,AR,4936,06/04/2026,3,1,Rolls,STRATO,Spike,Red-Black,2ft,10m,65.63,₹41.00,₹41.00,₹0,₹0,"₹2,691","₹3,175",yes,06/04/2026,,54,6 Apr 26,,Dispatched,4,,,
744,LV01162,BOMBAY MAT & CHEMICALS,AR,4936,06/04/2026,4,1,Rolls,STRATO,Spike,Dark Grey-Black,2ft,10m,65.63,₹41.00,₹41.00,₹0,₹0,"₹2,691","₹3,175",yes,06/04/2026,,54,6 Apr 26,,Dispatched,4,,,
745,LV01162,BOMBAY MAT & CHEMICALS,AR,4936,06/04/2026,5,1,Rolls,STRATO,Spike,P.Green,2ft,10m,65.63,₹41.00,₹41.00,₹0,₹0,"₹2,691","₹3,175",yes,06/04/2026,,54,6 Apr 26,,Dispatched,4,,,
746,LV01162,BOMBAY MAT & CHEMICALS,AR,4936,06/04/2026,6,1,Rolls,STRATO,Spike,Red,2ft,10m,65.63,₹41.00,₹41.00,₹0,₹0,"₹2,691","₹3,175",yes,06/04/2026,,54,6 Apr 26,,Dispatched,4,,,
747,LV01162,BOMBAY MAT & CHEMICALS,AR,4936,06/04/2026,7,1,Rolls,NIMBO,Diamond,Red-Black,2ft,12m,78.76,₹30.00,₹30.00,₹0,₹0,"₹2,363","₹2,788",yes,06/04/2026,,54,6 Apr 26,,Dispatched,4,,,
